"","sofifa_id","player_url","short_name","age","height_cm","weight_kg","nationality","club","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","weak_foot","skill_moves","work_rate","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes"
"11",240754,"https://sofifa.com/player/240754/youcef-atal/20/159586","Y. Atal",23,176,70,"Algeria","OGC Nice",77,86,12500000,25000,"RB, RWB, RM","Right",5,4,"High/High",27500000,"","RB",20,"","2018-07-17",2023,88,68,72,82,71,73,NA,NA,NA,NA,NA,NA,"Dives Into Tackles (CPU AI Only), Selfish, Early Crosser, Crowd Favourite",77,72,63,75,68,84,69,48,73,80,90,87,81,79,79,68,70,79,68,61,77,72,77,70,59,75,68,74,74,11,12,8,9,7
"12",223033,"https://sofifa.com/player/223033/jorge-mere-perez/20/159586","Jorge Meré",22,182,80,"Spain","1. FC Köln",77,85,12000000,22000,"CB","Right",3,2,"Medium/Medium",22800000,"","RCB",22,"","2017-07-20",2023,68,30,54,65,78,73,NA,NA,NA,NA,NA,NA,"",30,22,78,75,33,59,34,33,65,70,69,67,67,76,73,48,81,69,73,27,75,79,25,45,51,63,77,78,77,15,12,11,8,8
"13",226166,"https://sofifa.com/player/226166/nordi-mukiele/20/159586","N. Mukiele",21,185,74,"France","RB Leipzig",77,85,12000000,30000,"CB, RB","Right",3,3,"Medium/Medium",22800000,"","RCB",22,"","2018-07-01",2023,77,42,68,72,76,76,NA,NA,NA,NA,NA,NA,"Dives Into Tackles (CPU AI Only)",74,30,69,74,35,73,68,33,68,74,75,78,68,69,65,57,85,73,79,52,72,76,59,62,45,70,73,79,81,10,7,14,11,15
"14",239301,"https://sofifa.com/player/239301/lisandro-martinez/20/159586","L. Martínez",21,178,70,"Argentina","Ajax",77,85,12000000,13000,"CB, LB","Left",3,3,"Medium/High",19200000,"","LCB",21,"","2019-07-01",2023,75,55,70,74,77,76,NA,NA,NA,NA,NA,NA,"Diver",68,51,71,75,49,72,57,53,74,75,77,74,76,74,75,67,90,77,72,52,81,80,62,66,55,75,75,78,77,6,14,13,14,8
"15",245279,"https://sofifa.com/player/245279/sergio-reguilon-rodriguez/20/159586","Reguilón",22,178,68,"Spain","Sevilla FC",77,85,11500000,14000,"LB","Left",3,2,"High/Medium",NA,"","LB",23,"Real Madrid","",2020,78,50,71,74,75,69,NA,NA,NA,NA,NA,NA,"",75,43,72,78,45,73,70,43,65,74,79,78,75,75,71,62,66,76,65,54,69,76,67,65,42,70,77,75,74,11,14,9,5,12
"16",251573,"https://sofifa.com/player/251573/renan-augusto-lodi-dos-santos/20/159586","Renan Lodi",21,173,68,"Brazil","Atlético Madrid",77,85,12000000,31000,"LB","Left",3,4,"High/Medium",27000000,"","LB",12,"","2019-07-07",2025,84,66,75,79,72,73,NA,NA,NA,NA,NA,NA,"",80,64,67,75,59,78,78,57,75,79,86,83,82,78,82,72,74,81,68,68,76,73,69,72,54,77,70,74,73,12,7,11,10,15
"17",234678,"https://sofifa.com/player/234678/joakim-maehle/20/159586","J. Mæhle",22,184,80,"Denmark","KRC Genk",77,84,11000000,14000,"RB","Right",3,3,"High/High",18700000,"#Speedster, #Engine","RB",31,"","2017-07-01",2020,91,56,68,74,71,80,NA,NA,NA,NA,NA,NA,"Early Crosser",73,50,59,73,62,76,63,25,68,74,89,92,67,72,71,65,83,95,75,62,73,69,72,65,33,70,70,77,72,12,8,12,10,8
"18",236401,"https://sofifa.com/player/236401/noussair-mazraoui/20/159586","N. Mazraoui",21,183,62,"Morocco","Ajax",77,84,11000000,13000,"RB, CM","Right",3,3,"High/Low",17600000,"","RB",12,"","2016-11-01",2022,81,59,72,81,72,69,NA,NA,NA,NA,NA,NA,"Selfish, Crowd Favourite",70,61,65,81,56,83,67,33,73,79,79,83,87,77,55,63,69,83,62,54,68,77,71,70,37,74,69,73,73,12,7,13,12,12
"19",236441,"https://sofifa.com/player/236441/fabricio-bustos/20/159586","F. Bustos",23,167,66,"Argentina","Independiente",77,84,11000000,17000,"RB, RWB, RM","Right",3,4,"High/Low",17600000,"","RB",16,"","2016-07-01",2022,87,62,72,79,70,72,NA,NA,NA,NA,NA,NA,"Dives Into Tackles (CPU AI Only), Early Crosser",78,63,58,76,41,79,63,37,69,79,88,87,78,75,77,72,49,88,65,57,76,69,74,72,44,73,67,76,75,14,6,13,15,6
"20",229582,"https://sofifa.com/player/229582/gianluca-mancini/20/159586","G. Mancini",23,190,77,"Italy","Roma",76,86,11500000,29000,"CB","Right",3,2,"Medium/Medium",NA,"","LCB",3,"Atalanta","",2020,55,45,44,50,77,75,NA,NA,NA,NA,NA,NA,"",34,48,79,57,40,41,38,34,40,63,54,55,37,74,57,51,71,75,75,34,76,77,32,39,47,63,78,77,76,13,12,8,6,8
"21",224490,"https://sofifa.com/player/224490/mehmet-zeki-celik/20/159586","M. Çelik",22,180,78,"Turkey","LOSC Lille",76,84,10000000,27000,"RB","Right",3,3,"High/Medium",21000000,"","RB",17,"","2018-07-07",2023,81,42,70,71,73,74,NA,NA,NA,NA,NA,NA,"",74,37,65,74,42,69,68,37,67,75,80,82,67,71,67,49,64,82,71,36,74,75,72,69,46,69,74,74,72,13,14,9,10,7
"22",235454,"https://sofifa.com/player/235454/malang-sarr/20/159586","M. Sarr",20,182,73,"France","OGC Nice",76,84,10500000,20000,"CB, LB","Left",4,2,"Low/High",23100000,"","LB",23,"","2016-07-01",2021,70,51,68,66,76,76,NA,NA,NA,NA,NA,NA,"",68,49,73,74,37,62,60,59,69,67,71,70,74,73,70,68,78,74,79,40,68,76,59,63,44,78,74,78,75,6,9,14,12,8
"23",240679,"https://sofifa.com/player/240679/teun-koopmeiners/20/159586","T. Koopmeiners",21,183,77,"Netherlands","AZ Alkmaar",76,84,10500000,8000,"CDM, CM, CB","Left",2,3,"Medium/Medium",17900000,"","LCB",8,"","2017-08-13",2022,68,67,74,70,74,76,NA,NA,NA,NA,NA,NA,"",75,60,72,75,64,68,68,70,75,75,67,68,66,76,69,75,75,82,76,75,69,77,67,73,74,74,75,73,72,14,8,14,12,10
"24",229476,"https://sofifa.com/player/229476/waldemar-anton/20/159586","W. Anton",22,189,75,"Germany","Hannover 96",76,83,10000000,23000,"CB, CDM","Right",3,3,"Medium/Medium",18000000,"","LCB",31,"","2015-05-15",2021,64,46,58,66,77,77,NA,NA,NA,NA,NA,NA,"",42,42,74,70,38,66,37,39,69,69,54,73,62,74,57,55,72,82,76,45,74,77,52,57,48,71,77,78,75,11,12,12,13,13
"25",237604,"https://sofifa.com/player/237604/alan-franco/20/159586","A. Franco",22,183,77,"Argentina","Independiente",76,83,10000000,16000,"CB, RB","Right",2,2,"Medium/High",16000000,"","RCB",2,"","2017-01-01",2022,65,34,50,57,76,77,NA,NA,NA,NA,NA,NA,"Diver, Long Passer (CPU AI Only)",38,28,75,67,35,51,31,35,45,67,67,63,41,73,65,50,73,79,77,28,77,75,38,43,42,63,74,80,71,6,8,12,7,13
"26",238095,"https://sofifa.com/player/238095/nikola-milenkovic/20/159586","N. Milenković",21,195,90,"Serbia","Fiorentina",76,83,10000000,30000,"CB, RB","Right",3,2,"Medium/High",19000000,"","RCB",4,"","2017-07-10",2022,64,44,62,61,75,81,NA,NA,NA,NA,NA,NA,"",72,38,70,68,35,60,34,22,64,68,66,62,44,74,40,60,68,78,85,54,78,74,22,55,34,70,76,76,73,8,7,13,7,14
"27",236987,"https://sofifa.com/player/236987/boubacar-kamara/20/159586","B. Kamara",19,178,68,"France","Olympique de Marseille",75,86,10000000,15000,"CB","Right",3,3,"Medium/Medium",21000000,"","RCB",4,"","2017-07-01",2020,70,35,67,70,75,74,NA,NA,NA,NA,NA,NA,"",60,30,69,74,28,65,52,43,77,76,69,70,72,73,69,52,68,76,72,19,77,73,43,64,68,77,76,76,74,8,12,8,6,11
"28",225782,"https://sofifa.com/player/225782/ainsley-maitland-niles/20/159586","A. Maitland-Niles",21,177,71,"England","Arsenal",75,84,9500000,41000,"RWB, RB, RM","Right",3,4,"Medium/Medium",20000000,"","RB",15,"","2014-10-24",2023,85,59,70,76,68,67,NA,NA,NA,NA,NA,NA,"Early Crosser",71,56,54,74,44,77,60,36,69,76,83,87,79,72,71,65,55,78,66,62,58,70,66,72,54,77,67,73,69,15,9,7,10,13
"29",228708,"https://sofifa.com/player/228708/lucas-martinez-quarta/20/159586","L. Martínez Quarta",23,183,78,"Argentina","River Plate",75,84,9500000,17000,"CB","Right",3,3,"Medium/Medium",15200000,"","RCB",28,"","2016-07-01",2021,72,53,66,68,73,74,NA,NA,NA,NA,NA,NA,"",59,49,78,73,49,66,46,43,74,70,69,74,72,71,59,63,80,69,75,51,76,73,61,63,54,74,70,73,75,10,15,12,10,15
"30",231207,"https://sofifa.com/player/231207/jhon-lucumi/20/159586","J. Lucumi",21,185,78,"Colombia","KRC Genk",75,84,9500000,10000,"CB, LB","Left",3,2,"Medium/High",16200000,"","LCB",33,"","2018-07-20",2022,70,28,54,59,74,76,NA,NA,NA,NA,NA,NA,"",52,23,70,68,23,54,32,31,65,65,68,72,62,71,59,38,68,71,78,28,78,75,33,36,36,69,73,77,74,6,11,10,8,7
"31",244963,"https://sofifa.com/player/244963/ivanildo-jorge-mendes-fernandes/20/159586","Ivanildo Fernandes",23,193,85,"Portugal","Trabzonspor",75,84,9500000,22000,"CB","Left",4,2,"Medium/Medium",NA,"#Strength","RCB",14,"Sporting CP","",2020,62,28,48,49,74,81,NA,NA,NA,NA,NA,NA,"",37,21,71,65,27,46,27,30,50,58,58,66,34,71,36,45,64,74,88,25,76,71,31,38,39,62,73,77,74,12,6,14,9,5
"32",207624,"https://sofifa.com/player/207624/kenneth-omeruo/20/159586","K. Omeruo",25,185,81,"Nigeria","CD Leganés",75,82,8500000,23000,"CB","Right",3,2,"Low/Medium",19600000,"","CB",4,"","2019-08-13",2024,70,32,50,58,73,78,NA,NA,NA,NA,NA,NA,"Leadership",47,22,74,63,27,53,24,23,60,61,66,73,64,73,55,54,88,72,79,31,79,72,34,34,35,70,69,77,73,9,8,16,7,15
"33",222160,"https://sofifa.com/player/222160/youssouf-kone/20/159586","Y. Koné",23,174,71,"Mali","Olympique Lyonnais",75,82,8500000,42000,"LB","Left",3,3,"High/Medium",17900000,"","LB",28,"","2019-07-11",2024,84,47,64,74,71,72,NA,NA,NA,NA,NA,NA,"",72,42,57,70,37,73,65,42,53,74,86,83,75,74,77,56,64,76,68,46,79,73,62,59,46,69,73,73,73,14,14,10,14,9
"34",231340,"https://sofifa.com/player/231340/gonzalo-montiel/20/159586","G. Montiel",22,175,70,"Argentina","River Plate",75,82,8500000,17000,"RB, CB","Right",3,3,"High/Medium",13600000,"","RB",29,"","2015-10-14",2021,84,49,64,69,72,80,NA,NA,NA,NA,NA,NA,"",66,38,68,73,34,65,39,36,62,72,86,82,76,73,70,60,80,90,72,57,85,74,71,62,57,71,70,73,72,6,10,11,5,6
"35",244383,"https://sofifa.com/player/244383/mykyta-burda/20/159586","M. Burda",24,187,80,"Ukraine","Dynamo Kyiv",75,82,8500000,1000,"CB, RB, LB","Right",3,2,"Medium/Medium",20400000,"","RCB",26,"","2013-07-01",2022,65,23,43,40,77,74,NA,NA,NA,NA,NA,NA,"",28,17,77,62,27,31,22,27,45,48,63,66,40,74,52,34,67,64,80,21,74,79,27,31,33,68,76,78,71,11,14,13,11,13
"36",238621,"https://sofifa.com/player/238621/rodrigo-nascimento-franca/20/159586","Rodrigo Becão",23,191,79,"Brazil","Udinese",74,84,8500000,12000,"CB","Right",2,2,"Low/Medium",16200000,"","RCB",60,"","2019-07-11",2024,58,32,55,46,75,70,NA,NA,NA,NA,NA,NA,"",48,30,75,69,24,36,45,27,65,57,54,62,48,70,47,42,71,60,74,32,74,70,28,39,31,64,76,76,74,5,9,6,6,12
"37",221342,"https://sofifa.com/player/221342/pablo-maffeo-becerra/20/159586","Pablo Maffeo",21,172,70,"Spain","Girona FC",74,82,7500000,6000,"RWB, RM, RB","Right",3,3,"Medium/Medium",NA,"","RWB",20,"VfB Stuttgart","",2020,86,52,68,76,73,63,NA,NA,NA,NA,NA,NA,"",75,53,68,74,21,75,71,34,63,76,88,84,82,63,83,57,60,66,63,52,62,69,67,64,37,62,73,76,75,10,7,14,12,15
"38",224258,"https://sofifa.com/player/224258/kristoffer-ajer/20/159586","K. Ajer",21,196,94,"Norway","Celtic",74,82,7500000,28000,"CB","Right",3,3,"High/Medium",15000000,"#Aerial Threat, #Strength","LCB",35,"","2016-06-15",2022,67,52,62,67,72,82,NA,NA,NA,NA,NA,NA,"Injury Prone",55,48,75,69,41,69,58,52,64,71,62,71,53,55,53,64,60,81,87,53,75,69,52,60,49,74,72,74,73,9,9,14,7,10
"39",232119,"https://sofifa.com/player/232119/caglar-soyuncu/20/159586","C. Söyüncü",23,185,82,"Turkey","Leicester City",74,82,7500000,46000,"CB","Right",4,2,"Medium/Medium",15800000,"","LCB",4,"","2018-08-09",2023,63,45,52,59,74,74,NA,NA,NA,NA,NA,NA,"",46,37,68,61,48,57,39,37,55,59,63,63,64,67,58,65,68,64,77,42,81,71,42,49,52,59,69,82,79,6,7,7,7,7
"40",232132,"https://sofifa.com/player/232132/joaquin-fernandez-moreno/20/159586","Joaquín",23,190,75,"Spain","Real Valladolid CF",74,82,7500000,14000,"CB, CDM","Right",3,2,"Medium/High",17300000,"","LCB",24,"","2018-08-31",2023,67,47,61,61,72,78,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",46,43,72,69,39,60,48,49,64,67,66,68,58,72,35,59,75,69,84,45,75,71,50,64,47,64,70,74,72,9,12,13,14,14
"41",215147,"https://sofifa.com/player/215147/lautaro-giannetti/20/159586","L. Giannetti",25,184,79,"Argentina","Vélez Sarsfield",74,81,7000000,12000,"CB","Right",3,2,"Low/High",11900000,"","RCB",17,"","2012-03-01",2020,69,33,49,49,75,77,NA,NA,NA,NA,NA,NA,"Power Free-Kick",35,31,69,67,27,41,33,31,49,55,67,71,53,71,53,43,83,73,81,29,71,75,29,39,39,60,77,75,71,13,13,13,8,15
"42",215703,"https://sofifa.com/player/215703/marlon-da-silva-barbosa/20/159586","Marlon",23,182,80,"Brazil","Sassuolo",74,81,7000000,32000,"CB","Right",3,3,"Medium/Medium",14000000,"","RCB",2,"","2018-08-16",2020,64,44,59,66,74,73,NA,NA,NA,NA,NA,NA,"",43,40,71,72,33,64,57,46,69,72,60,68,60,65,59,61,62,63,77,36,76,77,36,46,58,66,75,73,75,8,15,16,13,12
"43",229537,"https://sofifa.com/player/229537/tomas-cardona/20/159586","T. Cardona",23,186,76,"Argentina","Godoy Cruz",74,81,7000000,9000,"CB","Left",3,2,"Low/Medium",11600000,"","LCB",6,"","2018-01-18",2022,54,46,49,57,72,82,NA,NA,NA,NA,NA,NA,"",44,48,77,61,39,55,44,39,56,61,43,63,54,67,48,49,87,76,84,40,82,74,40,29,59,65,69,71,70,14,14,12,10,10
"44",229595,"https://sofifa.com/player/229595/lucas-rodriguez/20/159586","L. Rodríguez",22,168,64,"Argentina","DC United",74,81,8000000,7000,"LM, CAM, LWB","Right",4,3,"High/Medium",NA,"","LWB",11,"Estudiantes de La Plata","",2019,79,61,66,81,51,61,NA,NA,NA,NA,NA,NA,"Selfish, Crowd Favourite",57,63,40,71,60,82,53,66,70,80,80,78,88,63,85,61,50,89,53,52,50,50,72,68,62,68,65,42,50,14,9,12,14,13
"45",232488,"https://sofifa.com/player/232488/cristian-romero/20/159586","C. Romero",21,185,79,"Argentina","Genoa",73,87,8000000,9000,"CB, RB","Right",2,2,"Low/High",18600000,"","RCB",17,"","2019-07-12",2024,63,35,43,47,72,77,NA,NA,NA,NA,NA,NA,"",31,26,76,55,33,36,35,29,46,54,61,65,64,71,64,51,76,72,75,37,88,76,31,36,40,58,67,73,74,5,7,11,10,14
"46",228730,"https://sofifa.com/player/228730/saul-salcedo/20/159586","S. Salcedo",21,183,75,"Paraguay","Club Atlético Huracán",73,84,6500000,9000,"CB","Right",3,2,"Medium/High",11100000,"","RCB",6,"","2018-07-23",2022,67,35,43,52,74,75,NA,NA,NA,NA,NA,NA,"",39,31,73,45,34,47,33,32,48,54,65,69,55,74,67,52,90,71,81,27,63,71,28,43,43,72,73,77,74,7,14,6,7,13
"47",236506,"https://sofifa.com/player/236506/marcos-senesi/20/159586","M. Senesi",22,183,80,"Argentina","San Lorenzo de Almagro",73,84,6500000,13000,"CB","Left",3,2,"Low/High",11100000,"","LCB",6,"","2016-01-19",2020,61,35,48,57,74,71,NA,NA,NA,NA,NA,NA,"",29,32,72,69,25,54,31,22,69,65,64,58,47,63,50,48,76,67,74,31,68,77,32,23,40,60,72,76,71,10,13,11,7,8
"48",243576,"https://sofifa.com/player/243576/pedro-antonio-porro-sauceda/20/159586","Pedro Porro",19,176,70,"Spain","Real Valladolid CF",73,84,6000000,8000,"RWB, RB, RM","Right",3,3,"High/Medium",NA,"","RB",2,"Manchester City","",2020,76,61,66,76,69,62,NA,NA,NA,NA,NA,NA,"",73,61,61,69,53,76,56,45,62,78,75,77,80,64,72,68,60,81,50,59,67,68,70,65,46,67,68,71,72,15,7,14,5,7
"49",231263,"https://sofifa.com/player/231263/jeremy-gelin/20/159586","J. Gélin",22,183,79,"France","Stade Rennais FC",73,83,6000000,24000,"CB, CDM","Right",3,2,"Medium/Medium",13200000,"","CB",26,"","2017-07-01",2022,62,36,59,62,72,72,NA,NA,NA,NA,NA,NA,"Leadership",44,30,68,70,30,58,52,33,67,68,58,65,61,73,61,52,71,69,73,35,73,71,26,58,48,71,72,75,71,8,11,7,12,14
"50",233097,"https://sofifa.com/player/233097/rick-van-drongelen/20/159586","R. van Drongelen",20,185,81,"Netherlands","Hamburger SV",73,83,6000000,8000,"CB, LB","Left",4,2,"Medium/Medium",10800000,"","LCB",4,"","2017-08-03",2022,66,25,58,51,73,74,NA,NA,NA,NA,NA,NA,"Leadership",46,20,70,67,35,44,44,50,65,60,64,68,55,60,59,29,77,66,80,24,70,68,22,56,48,59,74,76,71,14,14,8,7,11
"51",230672,"https://sofifa.com/player/230672/lyanco-neves-vojnovic/20/159586","Lyanco",22,187,75,"Brazil","Torino",73,82,5500000,25000,"CB","Right",3,2,"Medium/High",10500000,"","LCB",4,"","2017-07-17",2022,59,36,52,58,72,70,NA,NA,NA,NA,NA,NA,"Power Free-Kick",35,33,69,68,34,57,33,27,59,62,57,61,57,67,43,51,71,54,75,27,78,71,31,46,47,62,70,76,72,9,7,13,10,8
"52",231856,"https://sofifa.com/player/231856/alvaro-tejero-sacristan/20/159586","Álvaro Tejero",22,174,69,"Spain","SD Eibar",73,82,5500000,14000,"RB","Right",4,3,"High/Low",12700000,"","RB",24,"","2019-07-01",2024,80,60,70,76,66,65,NA,NA,NA,NA,NA,NA,"Leadership",76,54,55,72,38,75,66,68,67,74,82,78,85,72,88,74,78,88,53,65,63,71,70,63,59,70,66,67,68,13,7,10,9,7
"53",246914,"https://sofifa.com/player/246914/robert-rojas/20/159586","R. Rojas",23,176,75,"Paraguay","River Plate",73,82,5500000,14000,"CB","Right",3,3,"Medium/Medium",8800000,"","LCB",2,"","2019-01-16",2023,73,54,63,67,71,75,NA,NA,NA,NA,NA,NA,"",71,51,75,68,49,65,33,32,66,68,71,74,70,68,71,62,90,71,76,49,75,70,63,57,59,69,73,68,68,15,11,13,12,6
"54",222493,"https://sofifa.com/player/222493/marvin-friedrich/20/159586","M. Friedrich",23,192,81,"Germany","1. FC Union Berlin",73,81,5500000,23000,"CB","Right",3,2,"Medium/Medium",11000000,"","LCB",5,"","2019-07-05",2022,61,36,56,49,74,70,NA,NA,NA,NA,NA,NA,"Leadership",43,35,70,66,35,42,39,26,68,55,54,66,54,70,51,48,69,62,76,29,64,74,29,53,38,53,71,77,74,10,13,13,15,14
"55",225236,"https://sofifa.com/player/225236/benjamin-kuscevic/20/159586","B. Kuscevic",23,185,80,"Chile","Universidad Católica",73,81,5500000,8000,"CB","Right",3,2,"Medium/Medium",8800000,"","RCB",13,"","2014-08-23",2021,70,41,54,59,72,77,NA,NA,NA,NA,NA,NA,"",43,35,73,68,38,56,35,43,64,61,71,69,64,71,62,55,79,73,82,38,71,70,56,42,39,70,72,74,70,13,9,7,11,8
"56",233767,"https://sofifa.com/player/233767/sofiane-alakouch/20/159586","S. Alakouch",20,175,66,"France","Nîmes Olympique",73,81,5500000,12000,"RB","Right",3,3,"High/Medium",12100000,"","RB",29,"","2017-04-13",2021,75,35,67,69,71,60,NA,NA,NA,NA,NA,NA,"",72,31,53,72,30,67,57,31,66,69,77,74,77,69,78,41,51,74,54,34,59,73,61,65,34,69,74,72,73,6,12,14,11,8
"57",230043,"https://sofifa.com/player/230043/faitout-maouassa/20/159586","F. Maouassa",20,170,73,"France","Stade Rennais FC",73,80,5000000,20000,"LB","Left",2,3,"High/Medium",11000000,"","LWB",17,"","2017-07-01",2021,83,63,67,74,69,69,NA,NA,NA,NA,NA,NA,"",74,57,52,71,48,74,79,58,53,73,85,82,77,69,79,80,64,73,68,66,66,69,67,61,42,61,70,73,70,14,8,5,6,9
"58",231318,"https://sofifa.com/player/231318/romain-perraud/20/159586","R. Perraud",21,173,68,"France","Stade Brestois 29",73,80,5000000,10000,"LB","Left",2,3,"High/Medium",11000000,"","LB",18,"","2019-07-17",2023,74,66,68,72,72,69,NA,NA,NA,NA,NA,NA,"Long Throw-in, Argues with Officials",71,53,62,68,58,71,69,68,67,72,75,74,78,68,82,84,53,81,59,78,85,72,66,64,64,65,73,74,68,6,7,10,11,13
